LemonEntry,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,GrammarRule1:question1,SPARQL,GrammarRule1: question2,SPARQL Question 2,GrammarRule 1: questions,SPARQL ,NP (Grammar Rule 2),,grammar rules,numberOfQuestions
doctoralSupervisor_of,noun,doctoral supervisor,doctoral supervisors,of,NounPPFrame,range,domain,1,dbo: doctoralAdvisor,dbo:Scientist,dbo:Person,"What (dbo:Person, X) is the doctoral supervisor/doctoral supervisors of (dbo:Scientist,Y?) ",SELECT ?X WHERE { Y dbo: doctoralAdvisor ?X.},"Who (dbo:Person, X) is the doctoral supervisor of (dbo:Scientist,Y?) (X dbo: doctoralAdvisor Y)",SELECT ?X WHERE { Y dbo: doctoralAdvisor ?X.},"List the (dbo:Person, X) doctoral supervisors of (dbo:Scientist,Y?) ",SELECT ?X WHERE { Y dbo: doctoralAdvisor ?X.},"the doctoral supervisor of (dbo:Scientist,Y) ",,2,
elevation_of,noun,elevation,-,of,NounPPFrame,range,domain,1,dbo:areaUrban,dbo:PopulatedPlace,xsd:double,"What (xsd:double, X) is the elevation/- of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:areaUrban ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:areaUrban ?X.},"the elevation of (dbo:PopulatedPlace,Y) ",,2,
episode_of,noun,episode,episodes,of,NounPPFrame,range,domain,1,dbo:series,dbo:TelevisionEpisode,dbo:TelevisionShow,"What (dbo:TelevisionShow, X) is the episode/episodes of (dbo:TelevisionEpisode,Y?) ",SELECT ?X WHERE { Y dbo:series ?X.},FALSE,FALSE,"List the (dbo:TelevisionShow, X) episodes of (dbo:TelevisionEpisode,Y?) ",SELECT ?X WHERE { Y dbo:series ?X.},"the episode of (dbo:TelevisionEpisode,Y) ",,2,
foundationPlace_of,noun,foundation place,-,of,NounPPFrame,range,domain,1,dbo:foundationPlace,dbo:Organisation,dbo:City,"What (dbo:City, X) is the foundation place/- of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:foundationPlace ?X.},FALSE,FALSE,"List the (dbo:City, X) - of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:foundationPlace ?X.},"the foundation place of (dbo:Organisation,Y) ",,2,
founder_of,noun,founder,founders,of,NounPPFrame,range,domain,1,dbo:parentCompany,dbo:Company,dbo:Company,"What (dbo:Company, X) is the founder/founders of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:parentCompany ?X.},FALSE,FALSE,"List the (dbo:Company, X) founders of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:parentCompany ?X.},"the founder of (dbo:Company,Y) ",,2,
foundingYear_of,noun,founding year,-,of,NounPPFrame,range,domain,1,dbo:foundingYear,dbo:Company,xsd:gYear,"What (xsd:gYear, X) is the founding year/- of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:foundingYear ?X.},FALSE,FALSE,"List the (xsd:gYear, X) - of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:foundingYear ?X.},"the founding year of (dbo:Company,Y) ",,2,
headquarter_of,noun,headquarter,-,of,NounPPFrame,range,domain,1,dbo:headquarter,dbo:Organisation,dbo:PopulatedPlace,"What (dbo:PopulatedPlace, X) is the headquarter/- of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:headquarter ?X.},FALSE,FALSE,"List the (dbo:PopulatedPlace, X) - of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:headquarter ?X.},"the headquarter of (dbo:Organisation,Y) ",,2,
homeStadium_of,noun,home stadium,home stadiums,of,NounPPFrame,range,domain,1,dbo:ground,dbo:SoccerClub,dbo:Building,"What (dbo:Building, X) is the home stadium/home stadiums of (dbo:SoccerClub,Y?) ",SELECT ?X WHERE { Y dbo:ground ?X.},FALSE,FALSE,"List the (dbo:Building, X) home stadiums of (dbo:SoccerClub,Y?) ",SELECT ?X WHERE { Y dbo:ground ?X.},"the home stadium of (dbo:SoccerClub,Y) ",,2,
host_of,noun,host,hosts,of,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,"What (dbo:Person, X) is the host/hosts of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:presenter ?X.},"Who (dbo:Person, X) is the host of (dbo:TelevisionShow,Y?) (X dbo:presenter Y)",SELECT ?X WHERE { Y dbo:presenter ?X.},"List the (dbo:Person, X) hosts of (dbo:TelevisionShow,Y?) ",SELECT ?X WHERE { Y dbo:presenter ?X.},"the host of (dbo:TelevisionShow,Y) ",,2,
influencer_of,noun,influencer,influencers,of,NounPPFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person,"What (dbo:Person, X) is the influencer/influencers of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:influenced ?X.},"Who (dbo:Person, X) is the influencer of (dbo:Person,Y?) (X dbo:influenced Y)",SELECT ?X WHERE { Y dbo:influenced ?X.},"List the (dbo:Person, X) influencers of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:influenced ?X.},"the influencer of (dbo:Person,Y) ",,2,
ingredient_of,noun,ingredient,ingredients,of,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,owl:Thing,"What (owl:Thing, X) is the ingredient/ingredients of (dbo:Food,Y?) ",SELECT ?X WHERE { Y dbo:ingredient ?X.},FALSE,FALSE,"List the (owl:Thing, X) ingredients of (dbo:Food,Y?) ",SELECT ?X WHERE { Y dbo:ingredient ?X.},"the ingredient of (dbo:Food,Y) ",,2,
largestCity_of,noun,largest city,-,of,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City,"What (dbo:City, X) is the largest city/- of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:largestCity ?X.},FALSE,FALSE,"List the (dbo:City, X) - of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:largestCity ?X.},"the largest city of (dbo:Country,Y) ",,2,
-,noun,largest city,-,in,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City,"What (dbo:City, X) is the largest city/- in (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:largestCity ?X.},FALSE,FALSE,"List the (dbo:City, X) - in (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:largestCity ?X.},"the largest city in (dbo:Country,Y) ",,2,
leader-of,noun,leader,-,of,NounPPFrame,range,domain,1,dbo:leader,dbo:Country,dbo:Person,"What (dbo:Person, X) is the leader/- of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:leader ?X.},"Who (dbo:Person, X) is the leader of (dbo:Country,Y?) (X dbo:leader Y)",SELECT ?X WHERE { Y dbo:leader ?X.},"List the (dbo:Person, X) - of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:leader ?X.},"the leader of (dbo:Country,Y) ",,2,
location-of,noun,location,-,of,NounPPFrame,range,domain,1,dbo:location,dbo:Place,dbo:Place,"What (dbo:Place, X) is the location/- of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:location ?X.},FALSE,FALSE,"List the (dbo:Place, X) - of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:location ?X.},"the location of (dbo:Place,Y) ",,2,
-,noun,location,-,of,NounPPFrame,range,domain,1,dbo:location,dbo:Organisation,dbo:Place,"What (dbo:Place, X) is the location/- of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:location ?X.},FALSE,FALSE,"List the (dbo:Place, X) - of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:location ?X.},"the location of (dbo:Organisation,Y) ",,2,
-,noun,location,-,of,NounPPFrame,range,domain,1,dbo:location,dbo:Building,dbo:Place,"What (dbo:Place, X) is the location/- of (dbo:Building,Y?) ",SELECT ?X WHERE { Y dbo:location ?X.},FALSE,FALSE,"List the (dbo:Place, X) - of (dbo:Building,Y?) ",SELECT ?X WHERE { Y dbo:location ?X.},"the location of (dbo:Building,Y) ",,2,
manufacturer-of,noun,manufacturer,manufacturers,of,NounPPFrame,range,domain,1,dbo:manufacturer,owl:Thing,dbo:Organisation,"What (dbo:Organisation, X) is the manufacturer/manufacturers of (owl:Thing,Y?) ",SELECT ?X WHERE { Y dbo:manufacturer ?X.},FALSE,FALSE,"List the (dbo:Organisation, X) manufacturers of (owl:Thing,Y?) ",SELECT ?X WHERE { Y dbo:manufacturer ?X.},"the manufacturer of (owl:Thing,Y) ",,2,
mayor_of,noun,mayor,-,of,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person,"What (dbo:Person, X) is the mayor/- of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:mayor ?X.},"Who (dbo:Person, X) is the mayor of (dbo:City,Y?) (X dbo:mayor Y)",SELECT ?X WHERE { Y dbo:mayor ?X.},"List the (dbo:Person, X) - of (dbo:City,Y?) ",SELECT ?X WHERE { Y dbo:mayor ?X.},"the mayor of (dbo:City,Y) ",,2,
almaMater-of,noun,Alma Mater,Alma Maters,of,NounPPFrame,range,domain,1,dbo:almaMater,dbo:Person,dbo:EducationalInstitution,"What (dbo:EducationalInstitution, X) is the Alma Mater/Alma Maters of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:almaMater ?X.},FALSE,FALSE,"List the (dbo:EducationalInstitution, X) Alma Maters of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:almaMater ?X.},"the Alma Mater of (dbo:Person,Y) ",,2,
destination-of,noun,destination,destinations,of,NounPPFrame,range,domain,1,dbo:destination,dbo:PublicTransitSystem,dbo:PopulatedPlace,"What (dbo:PopulatedPlace, X) is the destination/destinations of (dbo:PublicTransitSystem,Y?) ",SELECT ?X WHERE { Y dbo:destination ?X.},FALSE,FALSE,"List the (dbo:PopulatedPlace, X) destinations of (dbo:PublicTransitSystem,Y?) ",SELECT ?X WHERE { Y dbo:destination ?X.},"the destination of (dbo:PublicTransitSystem,Y) ",,2,
-,noun,destination,destinations,of,NounPPFrame,range,domain,2,dbo:destination,dbo:Airplane,dbo:PopulatedPlace,"What (dbo:PopulatedPlace, X) is the destination/destinations of (dbo:Airplane,Y?) ",SELECT ?X WHERE { Y dbo:destination ?X.},FALSE,FALSE,"List the (dbo:PopulatedPlace, X) destinations of (dbo:Airplane,Y?) ",SELECT ?X WHERE { Y dbo:destination ?X.},"the destination of (dbo:Airplane,Y) ",,2,
distributor-of,noun,distributor,distributors,of,NounPPFrame,range,domain,1,dbo:distributor,dbo:Film,dbo:Organisation,"What (dbo:Organisation, X) is the distributor/distributors of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:distributor ?X.},FALSE,FALSE,"List the (dbo:Organisation, X) distributors of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:distributor ?X.},"the distributor of (dbo:Film,Y) ",,2,
gross-of,noun,gross,-,of,NounPPFrame,range,domain,1,dbo:gross,dbo:Film,xsd:double,"What (xsd:double, X) is the gross/- of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:gross ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:gross ?X.},"the gross of (dbo:Film,Y) ",,2,
productionCompany-of,noun,production company,production companies,of,NounPPFrame,range,domain,1,dbo:productionCompany,dbo:Work,dbo:Company,"What (dbo:Company, X) is the production company/production companies of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:productionCompany ?X.},FALSE,FALSE,"List the (dbo:Company, X) production companies of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:productionCompany ?X.},"the production company of (dbo:Work,Y) ",,2,
length-of,noun,length,-,of,NounPPFrame,range,domain,1,dbo:length,dbo:River,xsd:double,"What (xsd:double, X) is the length/- of (dbo:River,Y?) ",SELECT ?X WHERE { Y dbo:length ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:River,Y?) ",SELECT ?X WHERE { Y dbo:length ?X.},"the length of (dbo:River,Y) ",,2,
areaTotal-of,noun,total area,-,of,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Place,xsd:double,"What (xsd:double, X) is the total area/- of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:areaTotal ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:areaTotal ?X.},"the total area of (dbo:Place,Y) ",,2,
governingBody-of,noun,governing body,governing bodies,of,NounPPFrame,range,domain,1,dbo:governingBody,dbo:Place,dbo:Organisation,"What (dbo:Organisation, X) is the governing body/governing bodies of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:governingBody ?X.},FALSE,FALSE,"List the (dbo:Organisation, X) governing bodies of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:governingBody ?X.},"the governing body of (dbo:Place,Y) ",,2,
elevation-of,noun,elevation,-,of,NounPPFrame,range,domain,1,dbo:elevation,dbo:Place,xsd:double,"What (xsd:double, X) is the elevation/- of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:elevation ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:elevation ?X.},"the elevation of (dbo:Place,Y) ",,2,
populationMetro-of,noun,population metro,population metros,of,NounPPFrame,range,domain,1,dbo:populationMetro,dbo:PopulatedPlace,xsd:nonNegativeInteger,"What (xsd:nonNegativeInteger, X) is the population metro/population metros of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:populationMetro ?X.},FALSE,FALSE,"List the (xsd:nonNegativeInteger, X) population metros of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:populationMetro ?X.},"the population metro of (dbo:PopulatedPlace,Y) ",,2,
areaUrban-of,noun,urban area,urban areas,of,NounPPFrame,range,domain,1,dbo:areaUrban,dbo:PopulatedPlace,xsd:double,"What (xsd:double, X) is the urban area/urban areas of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:areaUrban ?X.},FALSE,FALSE,"List the (xsd:double, X) urban areas of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:areaUrban ?X.},"the urban area of (dbo:PopulatedPlace,Y) ",,2,
populationDensity-of,noun,population density,-,of,NounPPFrame,range,domain,1,dbo:populationDensity,dbo:PopulatedPlace,xsd:double,"What (xsd:double, X) is the population density/- of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:populationDensity ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:populationDensity ?X.},"the population density of (dbo:PopulatedPlace,Y) ",,2,
populationTotalRanking_of,noun,total population ranking,-,of,NounPPFrame,range,domain,1,dbo:populationTotalRanking,dbo:PopulatedPlace,xsd:positiveInteger,"What (xsd:positiveInteger, X) is the total population ranking/- of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:populationTotalRanking ?X.},FALSE,FALSE,"List the (xsd:positiveInteger, X) - of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:populationTotalRanking ?X.},"the total population ranking of (dbo:PopulatedPlace,Y) ",,2,
soundRecording-of,noun,sound recording,sound recordings,of,NounPPFrame,range,domain,1,dbo:soundRecording,dbo:Work,dbo:Sound,"What (dbo:Sound, X) is the sound recording/sound recordings of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:soundRecording ?X.},FALSE,FALSE,"List the (dbo:Sound, X) sound recordings of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:soundRecording ?X.},"the sound recording of (dbo:Work,Y) ",,2,
originalName-of,noun,original name,-,of,NounPPFrame,range,domain,1,dbo:originalName ,dbo:Person,http://www.w3.org/2001/XMLSchema#string,"What (http://www.w3.org/2001/XMLSchema#string, X) is the original name/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:originalName  ?X.},FALSE,FALSE,"List the (http://www.w3.org/2001/XMLSchema#string, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:originalName  ?X.},"the original name of (dbo:Person,Y) ",,2,
headquarter,noun,headquarter,-,of,NounPPFrame,range,domain,1,dbo:headquarter,dbo:Organisation,dbo:PopulatedPlace,"What (dbo:PopulatedPlace, X) is the headquarter/- of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:headquarter ?X.},FALSE,FALSE,"List the (dbo:PopulatedPlace, X) - of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:headquarter ?X.},"the headquarter of (dbo:Organisation,Y) ",,2,
netIncome-of,noun,net Income,net incomes,of,NounPPFrame,range,domain,1,dbo:netIncome,dbo:Company,xsd:double,"What (xsd:double, X) is the net Income/net incomes of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:netIncome ?X.},FALSE,FALSE,"List the (xsd:double, X) net incomes of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:netIncome ?X.},"the net Income of (dbo:Company,Y) ",,2,
citizenship-of,noun,citizenship,citizenships,of,NounPPFrame,range,domain,1,dbo:citizenship,dbo:Person,dbo:Location,"What (dbo:Location, X) is the citizenship/citizenships of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:citizenship ?X.},FALSE,FALSE,"List the (dbo:Location, X) citizenships of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:citizenship ?X.},"the citizenship of (dbo:Person,Y) ",,2,
deathCause-of,noun,death cause,death causes,of,NounPPFrame,range,domain,1,dbo:deathCause,dbo:Person,dbo:disease,"What (dbo:disease, X) is the death cause/death causes of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathCause ?X.},FALSE,FALSE,"List the (dbo:disease, X) death causes of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:deathCause ?X.},"the death cause of (dbo:Person,Y) ",,2,
signature-of,noun,signature,-,of,NounPPFrame,range,domain,1,dbo:signature,dbo:Person,xsd:string,"What (xsd:string, X) is the signature/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:signature ?X.},FALSE,FALSE,"List the (xsd:string, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:signature ?X.},"the signature of (dbo:Person,Y) ",,2,
profession-of,noun,profession,professions,of,NounPPFrame,range,domain,1,dbo:profession,dbo:Person,dbo:PersonFunction,"What (dbo:PersonFunction, X) is the profession/professions of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:profession ?X.},FALSE,FALSE,"List the (dbo:PersonFunction, X) professions of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:profession ?X.},"the profession of (dbo:Person,Y) ",,2,
recordLabel-of,noun,record label,record labels,of,NounPPFrame,range,domain,1,dbo:recordLabel,dbo:Work,dbo:RecordLabel,"What (dbo:RecordLabel, X) is the record label/record labels of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:recordLabel ?X.},FALSE,FALSE,"List the (dbo:RecordLabel, X) record labels of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:recordLabel ?X.},"the record label of (dbo:Work,Y) ",,2,
previousWork-of,noun,previous work,previous works,of,NounPPFrame,range,domain,1,dbo:previousWork,dbo:Work,dbo:Work,"What (dbo:Work, X) is the previous work/previous works of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:previousWork ?X.},FALSE,FALSE,"List the (dbo:Work, X) previous works of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:previousWork ?X.},"the previous work of (dbo:Work,Y) ",,2,
subsequentWork-of,noun,subsequent work,-,of,NounPPFrame,range,domain,1,dbo:subsequentWork,dbo:Work,dbo:Work,"What (dbo:Work, X) is the subsequent work/- of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:subsequentWork ?X.},FALSE,FALSE,"List the (dbo:Work, X) - of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:subsequentWork ?X.},"the subsequent work of (dbo:Work,Y) ",,2,
dissolutionDate-of,noun,dissolution date,-,of,NounPPFrame,range,domain,1,dbo:DissolutionDate,dbo:PopulatedPlace,xsd:date,"What (xsd:date, X) is the dissolution date/- of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:DissolutionDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:PopulatedPlace,Y?) ",SELECT ?X WHERE { Y dbo:DissolutionDate ?X.},"the dissolution date of (dbo:PopulatedPlace,Y) ",,2,
wife-of,noun,wife,wives,of,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,-,SELECT ?X WHERE { Y dbo:spouse ?X.},"Which person,Who (dbo:Person, X) is,was the wife of (dbo:Person,Y?) (X dbo:spouse Y)",SELECT ?X WHERE { Y dbo:spouse ?X.},"List the (dbo:Person, X) wives of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:spouse ?X.},"the wife of (dbo:Person,Y) ",,2,
producer-of,noun,producer,producers,of,NounPPFrame,range,domain,1,dbo:producer,dbo:Film,dbo:Person,-,SELECT ?X WHERE { Y dbo:producer ?X.},"Which person,Who (dbo:Person, X) is,was the producer of (dbo:Film,Y?) (X dbo:producer Y)",SELECT ?X WHERE { Y dbo:producer ?X.},"List the (dbo:Person, X) producers of (dbo:Film,Y?) ",SELECT ?X WHERE { Y dbo:producer ?X.},"the producer of (dbo:Film,Y) ",,2,
narrator-of,noun,narrator,narrators,of,NounPPFrame,range,domain,1,dbo:narrator,dbo:Work,dbo:Person,-,SELECT ?X WHERE { Y dbo:narrator ?X.},"Which person,Who (dbo:Person, X) is,was the narrator of (dbo:Work,Y?) (X dbo:narrator Y)",SELECT ?X WHERE { Y dbo:narrator ?X.},"List the (dbo:Person, X) narrators of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:narrator ?X.},"the narrator of (dbo:Work,Y) ",,2,
portrayer-of,noun,portrayer,portrayers,of,NounPPFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person,-,SELECT ?X WHERE { Y dbo:portrayer ?X.},"Which person,Who (dbo:Person, X) is,was the portrayer of (dbo:FictionalCharacter,Y?) (X dbo:portrayer Y)",SELECT ?X WHERE { Y dbo:portrayer ?X.},"List the (dbo:Person, X) portrayers of (dbo:FictionalCharacter,Y?) ",SELECT ?X WHERE { Y dbo:portrayer ?X.},"the portrayer of (dbo:FictionalCharacter,Y) ",,2,
stateOfOrigin-of,noun,origin,-,of,NounPPFrame,range,domain,1,dbo:stateOfOrigin,dbo:Person,dbo:Country,"What (dbo:Country, X) is the origin/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:stateOfOrigin ?X.},FALSE,FALSE,"List the (dbo:Country, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:stateOfOrigin ?X.},"the origin of (dbo:Person,Y) ",,2,
mostKnownWorks-of,noun,most known work,-,of,NounPPFrame,range,domain,1,dbo:knownFor,dbo:Person,dbo:Work,"What (dbo:Work, X) is the most known work/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:knownFor ?X.},FALSE,FALSE,"List the (dbo:Work, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:knownFor ?X.},"the most known work of (dbo:Person,Y) ",,2,
education-of,noun,education,-,of,NounPPFrame,range,domain,1,dbo:education,dbo:Person,xsd:string,"What (xsd:string, X) is the education/- of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:education ?X.},FALSE,FALSE,"List the (xsd:string, X) - of (dbo:Person,Y?) ",SELECT ?X WHERE { Y dbo:education ?X.},"the education of (dbo:Person,Y) ",,2,
runtimeSeconds-of,noun,runtime in seconds,-,of,NounPPFrame,range,domain,1,dbo:runtime,dbo:Work,xsd:double,"What (xsd:double, X) is the runtime in seconds/- of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:runtime ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:runtime ?X.},"the runtime in seconds of (dbo:Work,Y) ",,2,
writer-of,noun,writer,-,of,NounPPFrame,range,domain,1,dbo:writer,dbo:Work,dbo:Person,"What (dbo:Person, X) is the writer/- of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:writer ?X.},"Which person,Who (dbo:Person, X) is,was the writer of (dbo:Work,Y?) (X dbo:writer Y)",SELECT ?X WHERE { Y dbo:writer ?X.},"List the (dbo:Person, X) - of (dbo:Work,Y?) ",SELECT ?X WHERE { Y dbo:writer ?X.},"the writer of (dbo:Work,Y) ",,2,
-,noun,predecessor,predecessors,of,NounPPFrame,range,domain,2,dbo:predecessor,dbo:Company,dbo:Company,"What (dbo:Company, X) is the predecessor/predecessors of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:predecessor ?X.},FALSE,FALSE,"List the (dbo:Company, X) predecessors of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:predecessor ?X.},"the predecessor of (dbo:Company,Y) ",,2,
foundingDate-of,noun,founding date ,-,of,NounPPFrame,range,domain,1,dbo:foundingDate,dbo:Organisation,xsd:date,"What (xsd:date, X) is the founding date /- of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:foundingDate ?X.},FALSE,FALSE,"List the (xsd:date, X) - of (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:foundingDate ?X.},"the founding date  of (dbo:Organisation,Y) ",,2,
assets-of,noun,assets,-,of,NounPPFrame,range,domain,1,dbo:assets,dbo:Company,xsd:double,"What (xsd:double, X) is the assets/- of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:assets ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:assets ?X.},"the assets of (dbo:Company,Y) ",,2,
numberOfEmployees,noun,number of employees,-,of ,NounPPFrame,range,domain,1,dbo:numberOfEmployees,dbo:Organisation,xsd:nonNegativeInteger,"What (xsd:nonNegativeInteger, X) is the number of employees/- of  (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:numberOfEmployees ?X.},FALSE,FALSE,"List the (xsd:nonNegativeInteger, X) - of  (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:numberOfEmployees ?X.},"the number of employees of  (dbo:Organisation,Y) ",,2,
operatingIncome-of,noun,operating income,-,of,NounPPFrame,range,domain,1,dbo:operatingIncome,dbo:Company,xsd:double,"What (xsd:double, X) is the operating income/- of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:operatingIncome ?X.},FALSE,FALSE,"List the (xsd:double, X) - of (dbo:Company,Y?) ",SELECT ?X WHERE { Y dbo:operatingIncome ?X.},"the operating income of (dbo:Company,Y) ",,2,
area-in-m²-of,noun,area in m²,areas in m²,of,NounPPFrame,range,domain,1,dbo:area,dbo:Place,xsd:double,"What (xsd:double, X) is the area in m²/areas in m² of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:area ?X.},FALSE,FALSE,"List the (xsd:double, X) areas in m² of (dbo:Place,Y?) ",SELECT ?X WHERE { Y dbo:area ?X.},"the area in m² of (dbo:Place,Y) ",,2,
currency-of,noun,currency,-,of,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,"What (dbo:Currency, X) is the currency/- of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:currency ?X.},FALSE,FALSE,"List the (dbo:Currency, X) - of (dbo:Country,Y?) ",SELECT ?X WHERE { Y dbo:currency ?X.},"the currency of (dbo:Country,Y) ",,2,
